model	metric	value_original	value_criteria	red_perc	red_abs
BPR	averagepopularity@10	1146.3572	1146.3572	0	0
CFKG	averagepopularity@10	1115.4498	1338.642	-20.0092	-223.1922
CKE	averagepopularity@10	1165.2413	1288.1031	-10.5439	-122.8618
DGCF	averagepopularity@10	1172.6874	1708.6632	-45.7049	-535.9758
DMF	averagepopularity@10	1379.7292	1379.7292	0	0
KGCN	averagepopularity@10	1188.9582	1188.9582	0	0
KGNNLS	averagepopularity@10	1188.8981	1399.9527	-17.7521	-211.0546
LightGCN	averagepopularity@10	1088.741	1629.6349	-49.6807	-540.8939
LINE	averagepopularity@10	979.498	979.498	0	0
MultiDAE	averagepopularity@10	1137.4597	1291.1089	-13.5081	-153.6492
NGCF	averagepopularity@10	1201.8831	1359.7681	-13.1365	-157.885
BPR	giniindex@10	0.8839	0.8839	0	0
CFKG	giniindex@10	0.8822	0.9367	-6.1777	-0.0545
CKE	giniindex@10	0.8894	0.92	-3.4405	-0.0306
DGCF	giniindex@10	0.8992	0.9791	-8.8857	-0.0799
DMF	giniindex@10	0.9443	0.9443	0	0
KGCN	giniindex@10	0.8992	0.8992	0	0
KGNNLS	giniindex@10	0.8992	0.942	-4.7598	-0.0428
LightGCN	giniindex@10	0.8759	0.9748	-11.2912	-0.0989
LINE	giniindex@10	0.8904	0.8904	0	0
MultiDAE	giniindex@10	0.875	0.9185	-4.9714	-0.0435
NGCF	giniindex@10	0.9079	0.9397	-3.5026	-0.0318
BPR	ndcg@10	0.2554	0.2554	0	0
CFKG	ndcg@10	0.2402	0.2245	6.5362	0.0157
CKE	ndcg@10	0.2534	0.2515	0.7498	0.0019
DGCF	ndcg@10	0.2613	0.1921	26.483	0.0692
DMF	ndcg@10	0.2289	0.2289	0	0
KGCN	ndcg@10	0.232	0.232	0	0
KGNNLS	ndcg@10	0.2319	0.2159	6.8995	0.016
LightGCN	ndcg@10	0.2682	0.2002	25.3542	0.068
LINE	ndcg@10	0.2277	0.2277	0	0
MultiDAE	ndcg@10	0.2633	0.2392	9.1531	0.0241
NGCF	ndcg@10	0.2539	0.2433	4.1749	0.0106
BPR	recall@10	0.1635	0.1635	0	0
CFKG	recall@10	0.1526	0.1344	11.9266	0.0182
CKE	recall@10	0.1593	0.1543	3.1387	0.005
DGCF	recall@10	0.1656	0.1111	32.9106	0.0545
DMF	recall@10	0.1432	0.1432	0	0
KGCN	recall@10	0.1422	0.1422	0	0
KGNNLS	recall@10	0.1421	0.1255	11.6819	0.0166
LightGCN	recall@10	0.173	0.1161	32.8902	0.0569
LINE	recall@10	0.1451	0.1451	0	0
MultiDAE	recall@10	0.1799	0.1549	13.8966	0.025
NGCF	recall@10	0.1586	0.1479	6.7465	0.0107